time_stamp	track_id	x_state	y_state	v_state	yaw_state	yaw_rate_state
2880000	22	-3.39465	14.1091	0.616744	2.70332	0.149864
2880000	27	7.51044	50.8565	18.3551	0.53044	0.0972421
2880000	28	7.51044	50.8565	18.3551	0.53044	0.0972421
2890000	20	-3.32654	14.2599	0.668373	2.62608	0.113867
2890000	21	0.102604	30.6543	0.509441	1.23274	-0.0867682
2890000	22	-3.32654	14.2599	0.668396	2.62617	0.113885
2890000	27	8.52038	51.5256	18.2017	0.546633	0.111247
2890000	28	8.52038	51.5256	18.2017	0.546633	0.111247
2900000	20	-3.27254	14.391	0.748957	2.5669	0.0870258
2900000	21	0.0996412	30.8278	0.556217	1.30046	-0.042291
2900000	22	-3.27253	14.391	0.748989	2.56699	0.0870429
2900000	27	9.52553	52.1944	18.0176	0.564043	0.126245
2900000	28	9.52553	52.1944	18.0176	0.564043	0.126245
2910000	20	-3.22372	14.528	0.863824	2.51658	0.0662005
2910000	21	0.109718	30.8492	0.455346	1.26036	-0.04717
2910000	22	-3.2237	14.528	0.863867	2.51667	0.0662172
2910000	27	10.5698	52.9107	17.8772	0.585325	0.138807
2910000	28	10.5698	52.9107	17.8772	0.585325	0.138807
2920000	20	-3.1838	14.6629	1.00489	2.48842	0.0535785
2920000	21	0.0922035	30.9187	0.409811	1.30899	-0.0148287
2920000	22	-3.18379	14.6629	1.00495	2.48851	0.0535952
2920000	27	11.5964	53.6525	17.7696	0.610441	0.149656
2920000	28	11.5964	53.6525	17.7696	0.610441	0.149656
2930000	20	-3.17932	14.7879	1.14849	2.48533	0.0464024
2930000	21	0.0966063	30.9767	0.378795	1.31068	-0.00931759
2930000	22	-3.1793	14.7878	1.14856	2.48544	0.0464191
2930000	27	12.6954	54.4338	17.7696	0.631393	0.149656
2930000	28	12.6954	54.4338	17.7696	0.631393	0.149656
2940000	20	-3.23016	14.9689	1.26907	2.46587	0.038612
2940000	21	0.0864297	31.1656	0.4823	1.432	0.0440965
2940000	22	-3.23015	14.9689	1.26914	2.46598	0.0386278
2940000	27	13.6575	55.1662	17.7696	0.653841	0.149656
2940000	28	13.6575	55.1662	17.7696	0.653841	0.149656
2940000	-1	3.19633	50.6798	19.8453	0.0171285	0.00015027
2940000	-1	3.19633	50.6798	19.8453	0.0171285	0.00015027
2950000	20	-3.31785	15.1159	1.28585	2.47311	0.0386349
2950000	21	0.0886321	31.2285	0.432605	1.44664	0.0432871
2950000	22	-3.31784	15.1158	1.28592	2.47322	0.03865
2950000	27	14.4544	55.8278	17.7696	0.677786	0.149656
2950000	28	14.4544	55.8278	17.7696	0.677786	0.149656
